Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,4.630,3.060,270
C2,Top,2.530,1.800,180
C3,Top,2.530,4.190,270
C4,Top,1.655,2.320,90
C5,Top,5.510,3.060,270
C6,Top,5.530,3.310,270
C11,Top,3.200,3.900,0
C12,Top,5.630,4.000,270
C101,Top,4.400,1.450,90
C102,Top,3.380,0.490,90
C103,Top,4.580,0.490,90
C104,Top,4.400,0.490,90
D1,Top,5.900,0.700,180
D2,Top,6.406,0.700,180
D3,Top,6.912,0.700,180
D4,Top,7.418,0.700,180
D5,Top,7.924,0.700,180
D6,Top,8.430,0.700,180
D7,Top,8.936,0.700,180
D8,Top,9.442,0.700,180
D9,Top,2.720,2.300,270
D10,Top,3.421,2.300,270
D11,Top,4.122,2.300,270
D12,Top,4.823,2.300,270
D13,Top,2.400,3.980,180
D14,Top,0.985,2.310,270
D101,Top,4.620,1.600,270
D102,Top,4.870,1.600,90
R1,Top,3.800,4.550,90
R2,Top,1.880,2.320,270
R101,Top,3.550,1.530,180
R102,Top,3.550,1.400,180
R103,Top,4.210,1.450,270
R104,Top,3.830,0.490,90
R105,Top,4.060,1.450,270
R106,Top,4.730,0.490,90
R107,Top,3.680,0.490,270
R108,Top,3.530,0.490,90
R109,Top,2.580,0.330,0
R110,Top,3.740,0.980,270
R111,Top,4.410,0.980,270
RN1,Top,5.190,3.720,270
RN2,Top,0.520,2.770,90
SW1,Top,5.921,1.003,0
SW2,Top,6.427,1.003,0
SW3,Top,6.933,1.003,0
SW4,Top,7.439,1.003,0
SW5,Top,7.945,1.003,0
SW6,Top,8.451,1.003,0
SW7,Top,8.957,1.003,0
SW8,Top,9.463,1.003,0
SW9,Top,2.365,2.317,0
SW10,Top,3.066,2.317,0
SW11,Top,3.767,2.317,0
SW12,Top,4.468,2.317,0
U1,Top,5.080,3.040,0
U2,Top,2.890,1.660,180
U3,Top,2.880,4.220,180
U4,Top,1.365,2.270,0
U101,Top,3.850,1.400,0
U102,Top,4.190,0.490,0
U103,Top,3.110,0.440,90
